rodada,seed,acuracia,precision_1,recall_1,f1_1
1,42,0.8825844539193178,0.6216216216216216,0.233502538071066,0.33948339483394835
2,38,0.8868481469334208,0.6642335766423357,0.23333333333333334,0.34535104364326374
3,123,0.8848802886192194,0.6014492753623188,0.21899736147757257,0.32108317214700194
